payment_id,order_id,merchant,method,amount,fee,tax,net_expected,status,created_at
pay_100021,order_200021,Orbit Travels,upi,9986.54,189.74,34.15,9762.65,captured,2026-09-01 14:57:32
pay_100022,order_200022,Kavya Foods,wallet,34046.83,646.89,116.44,33283.5,captured,2026-09-01 15:14:09
pay_100023,order_200023,Orbit Travels,netbanking,26898.95,511.08,91.99,26295.88,captured,2026-09-01 15:31:38
pay_100024,order_200024,Zylo Retail,netbanking,43702.87,830.35,149.46,42723.06,captured,2026-09-01 15:48:00
pay_100025,order_200025,Orbit Travels,card,34621.65,657.81,118.41,33845.43,captured,2026-09-01 16:05:18
pay_100026,order_200026,Nimbus SaaS,card,20499.51,389.49,70.11,20039.91,captured,2026-09-01 16:22:56
pay_100027,order_200027,Nimbus SaaS,card,22919.52,550.07,99.01,22270.44,captured,2026-09-01 16:39:40
pay_100028,order_200028,Pixel Studio,upi,7004.84,133.09,23.96,6847.79,captured,2026-09-01 16:56:34
pay_100029,order_200029,Nimbus SaaS,netbanking,27012.66,513.24,92.38,26407.04,captured,2026-09-01 17:13:07
pay_100030,order_200030,Zylo Retail,upi,10889.44,206.9,37.24,10645.3,captured,2026-09-01 17:30:36
pay_100031,order_200031,Pixel Studio,card,32976.06,626.55,112.78,32236.73,captured,2026-09-01 17:47:48
pay_100032,order_200032,Kavya Foods,netbanking,5908.36,112.26,20.21,5775.89,captured,2026-09-01 18:04:35
pay_100033,order_200033,Pixel Studio,card,23816.17,452.51,81.45,23282.21,captured,2026-09-01 18:21:13
pay_100034,order_200034,Nimbus SaaS,wallet,32125.76,610.39,109.87,31405.5,captured,2026-09-01 18:38:42
pay_100035,order_200035,Kavya Foods,upi,40497.69,769.46,138.5,39589.73,captured,2026-09-01 18:55:15
pay_100036,order_200036,Pixel Studio,card,15313.14,290.95,52.37,14969.82,captured,2026-09-01 19:12:14
pay_100037,order_200037,Kavya Foods,upi,472.51,8.98,1.62,461.91,captured,2026-09-01 19:29:03
pay_100038,order_200038,Pixel Studio,card,40758.09,774.4,139.39,39844.3,captured,2026-09-01 19:46:04
pay_100039,order_200039,Kavya Foods,wallet,12639.71,240.15,43.23,12356.33,captured,2026-09-01 20:03:34
pay_100040,order_200040,Kavya Foods,upi,11048.43,209.92,37.79,10800.72,captured,2026-09-01 20:20:26
pay_100041,order_200041,Orbit Travels,wallet,4497.35,85.45,15.38,4396.52,captured,2026-09-01 20:37:27
pay_100042,order_200042,Zylo Retail,upi,38893.08,933.43,168.02,37791.63,captured,2026-09-01 20:54:41
pay_100043,order_200043,Zylo Retail,card,18207.56,345.94,62.27,17799.35,captured,2026-09-01 21:11:55
pay_100044,order_200044,Orbit Travels,card,8742.81,166.11,29.9,8546.8,captured,2026-09-01 21:28:08
pay_100045,order_200045,Zylo Retail,wallet,12642.75,240.21,43.24,12359.3,captured,2026-09-01 21:45:59
pay_100046,order_200046,Zylo Retail,upi,36389.8,691.41,124.45,35573.94,captured,2026-09-01 22:02:06
pay_100047,order_200047,Kavya Foods,card,43609.48,828.58,149.14,42631.76,captured,2026-09-01 22:19:54
pay_100048,order_200048,Orbit Travels,upi,18377.67,349.18,62.85,17965.64,captured,2026-09-01 22:36:55
pay_100049,order_200049,Nimbus SaaS,wallet,7533.97,180.82,32.55,7320.6,captured,2026-09-01 22:53:24
pay_100050,order_200050,Pixel Studio,wallet,12943.43,245.93,44.27,12653.23,captured,2026-09-01 23:10:46
pay_100051,order_200051,Pixel Studio,upi,7092.64,134.76,24.26,6933.62,captured,2026-09-01 23:27:03
pay_100052,order_200052,Orbit Travels,card,33696.7,808.72,145.57,32742.41,captured,2026-09-01 23:44:37
pay_100053,order_200053,Kavya Foods,upi,2701.05,51.32,9.24,2640.49,captured,2026-09-02 00:01:54
pay_100054,order_200054,Orbit Travels,upi,26837.32,509.91,91.78,26235.63,captured,2026-09-02 00:18:15
pay_100055,order_200055,Pixel Studio,upi,42380.59,805.23,144.94,41430.42,captured,2026-09-02 00:35:37
pay_100056,order_200056,Pixel Studio,netbanking,27929.26,530.66,95.52,27303.08,captured,2026-09-02 00:52:37
pay_100057,order_200057,Nimbus SaaS,card,42071.58,799.36,143.88,41128.34,captured,2026-09-02 01:09:45
pay_100058,order_200058,Nimbus SaaS,wallet,12062.81,289.51,52.11,11721.19,captured,2026-09-02 01:26:41
pay_100059,order_200059,Zylo Retail,wallet,14330.55,272.28,49.01,14009.26,captured,2026-09-02 01:43:04
pay_100060,order_200060,Zylo Retail,card,28008.99,532.17,95.79,27381.03,captured,2026-09-02 02:00:06
pay_100061,order_200061,Zylo Retail,card,22838.93,548.13,98.66,22192.14,captured,2026-09-02 02:17:22
pay_100062,order_200062,Pixel Studio,netbanking,16723.29,317.74,57.19,16348.36,captured,2026-09-02 02:34:53
